window,energy,dwell,efficiency
156,0.759132863929711,0.33958016907064853,0.44732639721069695
157,0.8078512134085226,0.3030219109614247,0.3750961883753213
158,0.8241883321233259,0.2763787917718975,0.33533451150217036
159,0.8498666514568591,0.25652514192395964,0.3018416376899067
160,0.7444072162212352,0.2270479018812528,0.3050049716112296
161,0.7058327218529071,0.1824873291759368,0.25854189455970317
162,0.7320266116178797,0.19328923208475982,0.2640467286170912
163,0.693528725610891,0.16547433612961185,0.2385976672559524
164,0.672671600500445,0.11512779392083869,0.17115007355457323
165,0.7164413228427694,0.19450427320460986,0.27148667584623287
166,0.8327449095380889,0.25595456753764434,0.3073625123074991
167,0.6805028665577717,0.3220403726374741,0.47323881855067895
168,0.717298947231367,0.34722466974645977,0.4840724652368047
169,0.624909838637012,0.3218076397423545,0.5149665116375044
170,0.7041134183449769,0.2606012072008223,0.37011254206226585
171,0.7896179905019106,0.23399987572701741,0.2963456741260971
172,0.6973140228751471,0.2151952446375306,0.30860593297605365
173,0.7584583403529914,0.1810825154928966,0.23875077355566365
174,0.6953521868089343,0.16537085568555682,0.23782316184361746
175,0.5402239382258004,0.12863912465743554,0.23812185194180593
176,0.6988519961321027,0.20492312414358094,0.293228216057813
177,0.5909544246923092,0.3008159459139522,0.5090340867143417
178,0.551057344475804,0.3025949620228385,0.5491170111447689
179,0.6124415711009963,0.3039928813264584,0.4963622582482916
180,0.7343952371384842,0.268590686194821,0.36573043039439007
181,0.5952244644510878,0.26411618277006893,0.44372534816636383
182,0.598016075923852,0.2879525764146102,0.48151310300749367
183,0.6882964959234557,0.2619841958419605,0.38062694980366807
184,0.6158847255444281,0.24870284089492925,0.4038139452714957
185,0.6221956479726349,0.24081323925770762,0.38703780716511077
186,0.4663830601944188,0.25064477721488365,0.5374225578790455
187,0.6260824094883978,0.27681094800170464,0.4421318084686121
188,0.7026267880921345,0.2500644965771453,0.3558994629575164
189,0.5831442188032299,0.24230547705137873,0.41551552634287237
190,0.44556756521926194,0.24030143518306718,0.5393153673806672
191,0.5979481402353171,0.2483693322343174,0.4153693530931244
192,0.7820616909346949,0.27367470812018185,0.3499400510950749
193,0.7678671966893921,0.26629073568351247,0.34679269644142613
194,0.6397732117167424,0.2518563543097326,0.3936650513930469
195,0.6105752696959647,0.23391933713161514,0.38311302259225755
196,0.6726035259309114,0.23837621836747788,0.35440821991248767
197,0.7360436320893186,0.2218422226635376,0.30139819565272363
198,0.6787229675157157,0.252025785032277,0.3713234958257237
199,0.6407532269854258,0.22633264743120615,0.35322904023553403
200,0.6663462611013732,0.18232759793111641,0.2736229023066674
201,0.803039560112397,0.24829179807072133,0.3091899955776155
202,0.8438163002633597,0.24499142843891972,0.29033739729064584
203,0.8119554390076473,0.23853575180719516,0.29377936314996544
204,0.7188583226177716,0.2647969171257864,0.36835758696466725
205,0.635296133007592,0.23155201084018529,0.3644788607598376
206,0.6976910662804714,0.20081294656620968,0.2878250220516662
207,0.7780681359922929,0.14642940922163883,0.1881961263149191
208,0.7432699187623393,0.14594964418895076,0.1963615646013814
209,0.7467921259309164,0.14698640267240612,0.19682371780433186
210,0.7426100395338521,0.1208486488119542,0.1627350054027539
211,0.740305897813982,0.13632197857052275,0.18414276983966746
212,0.8428779713661516,0.11474937025586568,0.13613995636434045
213,0.8167548638569472,0.14977701257985027,0.18338061906876543
214,0.8291268388002293,0.1350881035823989,0.1629281519358154
215,0.8147064692532323,0.10854469074821543,0.13323165438269485
216,0.7604085416384463,0.17053074201447238,0.2242620021398036
217,0.7754839145795147,0.1433121975345714,0.1848035720944621
218,0.7081439644359683,0.20249091383305495,0.28594597140391215
219,0.7027284304838222,0.1914241517477792,0.2724013195093662
220,0.7117431660801445,0.18636522243684225,0.26184336048780915
221,0.674443382335026,0.2969016454815211,0.4402173009831908
222,0.5682458536132756,0.2831815545481763,0.49834337144334623
223,0.5349537589214315,0.2713179414265803,0.5071801755779618
224,0.5536336189541382,0.285202565841272,0.5151467613699646
225,0.6515448997536607,0.24931406837772324,0.3826506330319216
226,0.5909853150096146,0.24434922845543486,0.4134607446381532
227,0.5909860499308368,0.23989268132989366,0.4059193636082889
228,0.5767014997695105,0.27837624287243135,0.482704211685628
229,0.5736666791698729,0.23709641954217633,0.4132999668796135
230,0.5457347813956303,0.20615158898747776,0.377750504416271
231,0.559779317877416,0.17823100487736807,0.3183951231377196
232,0.7283576636518211,0.16307283912940576,0.223891155739896
233,0.5806224098516993,0.18619745365585058,0.3206859578005953
234,0.46849780527996354,0.2844943049517981,0.6072478924870652
235,0.4274427269520672,0.2250061087059856,0.5264006016847665
236,0.520774787229242,0.263282146981946,0.5055585511967093
237,0.540953309201493,0.2593449825729548,0.47942212038195037
238,0.5901088349899428,0.25846759988954066,0.43799988158141323
239,0.592409829572879,0.2842597932959026,0.4798363886920431
240,0.6822234872067956,0.282136412176746,0.4135542346841972
241,0.6935350330412311,0.27093692478622067,0.39066076238292524
242,0.7518362253050448,0.2923418667759967,0.38883716545914004
243,0.6718055018444422,0.40057653853042646,0.5962686184781407
244,0.6728373189375579,0.4295189594847146,0.6383697029455923
245,0.7075403589677763,0.5707184334372496,0.8066231503588046
246,0.7151998857962019,0.9999999999922169,1.398210513888908
